"name","category","price"
"Classic Fried rice","Rice / Veg","139"
"Classic Fried rice","Rice / Chicken","159"
"Classic Fried rice","Rice / Pork","159"
"Schezwan Fried rice","Rice / Veg","149"
"Schezwan Fried rice","Rice / Chicken","169"
"Schezwan Fried rice","Rice / Pork","169"
"Burnt Garlic Fried rice","Rice / Veg","159"
"Burnt Garlic Fried rice","Rice / Chicken","179"
"Burnt Garlic Fried rice","Rice / Pork","179"
"Classic Noodles","Noodles / Veg","139"
"Classic Noodles","Noodles / Chicken","159"
"Classic Noodles","Noodles / Pork","159"
"Schezwan Noodles","Noodles / Veg","149"
"Schezwan Noodles","Noodles / Chicken","169"
"Schezwan Noodles","Noodles / Pork","169"
"Burnt Garlic Noodles","Noodles / Veg","159"
"Burnt Garlic Noodles","Noodles / Chicken","179"
"Burnt Garlic Noodles","Noodles / Pork","179"
"Chilli Garlic Noodles","Noodles / Veg","149"
"Chilli Garlic Noodles","Noodles / Chicken","169"
"Chilli Garlic Noodles","Noodles / Pork","169"
"Chilli Garlic Fried rice","Rice / Veg","149"
"Chilli Garlic Fried rice","Rice / Chicken","169"
"Chilli Garlic Fried rice","Rice / Pork","169"
"Hakka Noodles","Noodles / Veg","139"
"Hakka Noodles","Noodles / Chicken","159"
"Hakka Noodles","Noodles / Pork","159"
"Chilli Potato","Starters - Veg Starters","149"
"Honey Chilli Potato","Starters - Veg Starters","159"
"Crispy Chilli Mushroom","Starters - Veg Starters","179"
"Crispy Chilli Babycorn","Starters - Veg Starters","179"
"Paneer Chilli Dry","Starters - Veg Starters","199"
"Paneer Chilli Gravy","Starters - Veg Starters","209"
"Paneer Manchurian Dry","Starters - Veg Starters","199"
"Paneer Manchurian Gravy","Starters - Veg Starters","209"
"Paneer 65","Starters - Veg Starters","199"
"Veg Spring Roll","Starters - Veg Starters","159"
"Veg Manchurian Dry","Starters - Veg Starters","179"
"Veg Manchurian Gravy","Starters - Veg Starters","189"
"Crispy chilli baby corn","Starters - Veg Starters","139"
"Honey Chilli Cauliflower","Starters - Veg Starters","169"
"Cheese Jalapeno Poppers","Starters - Veg Starters","189"
"Nachos (Served with salsa, dips & cheese)","Snacks","199"
"Popcorn chicken Small","Starters - Non Veg Starters","199"
"Popcorn chicken Large","Starters - Non Veg Starters","269"
"Drums of heaven (Sweet, spicy, and downright addictive)","Starters - Non Veg Starters","279"
"Whole fried chicken wings (Wings so good, you'll forget the dip)","Starters - Non Veg Starters","299"
"Platter with mix of Cheese Jalapeno / Thai sweet chilli / Peri peri","Starters - Non Veg Starters","299"
"Dragon chicken (Chicken strips in tangy chilli sauce, Amul butter & tossed with kaju)","Starters - Non Veg Starters","249"
"Chicken Chilli Dry","Starters - Non Veg Starters","239"
"Chicken Chilli Gravy","Starters - Non Veg Starters","249"
"Chicken Manchurian Dry","Starters - Non Veg Starters","239"
"Chicken Manchurian Gravy","Starters - Non Veg Starters","249"
"Chicken 65","Starters - Non Veg Starters","239"
"Chicken Spring Roll","Starters - Non Veg Starters","199"
"Chicken Lollipop","Starters - Non Veg Starters","249"
"Crispy Chilli Chicken","Starters - Non Veg Starters","249"
"Crispy Honey Chilli Chicken","Starters - Non Veg Starters","259"
"Lemon Chicken","Starters - Non Veg Starters","259"
"Pork Chilli Dry","Starters - Non Veg Starters","249"
"Pork Chilli Gravy","Starters - Non Veg Starters","259"
"Pork Manchurian Dry","Starters - Non Veg Starters","249"
"Pork Manchurian Gravy","Starters - Non Veg Starters","259"
"Crispy Chilli Pork","Starters - Non Veg Starters","259"
"Crispy Honey Chilli Pork","Starters - Non Veg Starters","269"
"Veg Burger","Burgers","99"
"Cheese Veg Burger","Burgers","119"
"Paneer Burger","Burgers","139"
"Cheese Paneer Burger","Burgers","159"
"Chicken Burger","Burgers","139"
"Cheese Chicken Burger","Burgers","159"
"Double Chicken Burger","Burgers","189"
"Pork Burger","Burgers","149"
"Cheese Pork Burger","Burgers","169"
"Double Pork Burger","Burgers","199"
"Veg Sandwich","Sandwiches","89"
"Cheese Veg Sandwich","Sandwiches","109"
"Paneer Sandwich","Sandwiches","129"
"Cheese Paneer Sandwich","Sandwiches","149"
"Chicken Sandwich","Sandwiches","129"
"Cheese Chicken Sandwich","Sandwiches","149"
"Double Chicken Sandwich","Sandwiches","179"
"Pork Sandwich","Sandwiches","139"
"Cheese Pork Sandwich","Sandwiches","159"
"Double Pork Sandwich","Sandwiches","189"
"French Fries","Fries","99"
"Peri Peri Fries","Fries","119"
"Cheese Fries","Fries","139"
"Cheesy Peri Peri Fries","Fries","149"
"Veg Momos (Steamed)","Momos","99"
"Veg Momos (Fried)","Momos","119"
"Veg Momos (Chilli)","Momos","139"
"Veg Momos (Kurkure)","Momos","149"
"Paneer Momos (Steamed)","Momos","119"
"Paneer Momos (Fried)","Momos","139"
"Paneer Momos (Chilli)","Momos","159"
"Paneer Momos (Kurkure)","Momos","169"
"Chicken Momos (Steamed)","Momos","119"
"Chicken Momos (Fried)","Momos","139"
"Chicken Momos (Chilli)","Momos","159"
"Chicken Momos (Kurkure)","Momos","169"
"Pork Momos (Steamed)","Momos","129"
"Pork Momos (Fried)","Momos","149"
"Pork Momos (Chilli)","Momos","169"
"Pork Momos (Kurkure)","Momos","179"
"Veg Pizza (Small)","Pizza","149"
"Veg Pizza (Medium)","Pizza","199"
"Veg Pizza (Large)","Pizza","299"
"Paneer Pizza (Small)","Pizza","169"
"Paneer Pizza (Medium)","Pizza","229"
"Paneer Pizza (Large)","Pizza","349"
"Chicken Pizza (Small)","Pizza","179"
"Chicken Pizza (Medium)","Pizza","249"
"Chicken Pizza (Large)","Pizza","379"
"Pork Pizza (Small)","Pizza","189"
"Pork Pizza (Medium)","Pizza","269"
"Pork Pizza (Large)","Pizza","399"
"Margherita Pizza (Small)","Pizza","139"
"Margherita Pizza (Medium)","Pizza","189"
"Margherita Pizza (Large)","Pizza","279"
"Farmhouse Pizza (Small)","Pizza","159"
"Farmhouse Pizza (Medium)","Pizza","219"
"Farmhouse Pizza (Large)","Pizza","329"
"Chicken Tikka Pizza (Small)","Pizza","189"
"Chicken Tikka Pizza (Medium)","Pizza","269"
"Chicken Tikka Pizza (Large)","Pizza","399"
"Pork Pepperoni Pizza (Small)","Pizza","199"
"Pork Pepperoni Pizza (Medium)","Pizza","289"
"Pork Pepperoni Pizza (Large)","Pizza","429"
"Veg Pasta (Red Sauce)","Pasta","149"
"Veg Pasta (White Sauce)","Pasta","159"
"Veg Pasta (Mixed Sauce)","Pasta","169"
"Chicken Pasta (Red Sauce)","Pasta","169"
"Chicken Pasta (White Sauce)","Pasta","179"
"Chicken Pasta (Mixed Sauce)","Pasta","189"
"Pork Pasta (Red Sauce)","Pasta","179"
"Pork Pasta (White Sauce)","Pasta","189"
"Pork Pasta (Mixed Sauce)","Pasta","199"
"Veg Salad","Salads","99"
"Chicken Salad","Salads","129"
"Pork Salad","Salads","139"
"Greek Salad","Salads","149"
"Caesar Salad","Salads","159"
"Garden Salad","Salads","89"
"Coleslaw","Salads","79"
"Potato Salad","Salads","89"
"Tuna Salad","Salads","169"
"Egg Salad","Salads","109"
"Plain Maggi","Munchies","59"
"Veg Maggi","Munchies","79"
"Egg Maggi","Munchies","89"
"Chicken Maggi","Munchies","99"
"Cheese Maggi","Munchies","89"
"Paneer Maggi","Munchies","99"
"Veg Fried Paneer Maggi","Munchies","99"
"Egg Fried Maggi","Munchies","109"
"Chicken Fried Maggi","Munchies","119"
"Cheese Chilli Toast (Spiced up garlic in bread with Mozzarella, green chilli, chilli flakes)","Munchies","169"
"Garlic Bread","Munchies","99"
"Cheese Garlic Bread","Munchies","129"
"Stuffed Garlic Bread","Munchies","149"
"Bruschetta","Munchies","139"
"Veg Roll (Wrapped in tortilla. Includes Paneer)","Munchies","189"
"Chicken Roll (Wrapped in tortilla)","Munchies","199"
"Pork Roll (Wrapped in tortilla)","Munchies","209"
"Egg Roll","Munchies","99"
"Paneer Roll","Munchies","139"
"Double Egg Roll","Munchies","129"
"Egg Chicken Roll","Munchies","179"
"Loaded Cheese Balls (Crispy outside, soft, cheesy inside stuffed with mozzarella, mild spices, herbs. Perfect teatime munchies with a tangy Dip.)","Munchies","199"
"Tea (Cup)","Beverages","20"
"Coffee (Cup)","Beverages","30"
"Cold Coffee","Beverages","89"
"Cold Coffee with Ice Cream","Beverages","119"
"Chocolate Shake","Beverages","129"
"Vanilla Shake","Beverages","109"
"Strawberry Shake","Beverages","109"
"Oreo Shake","Beverages","139"
"KitKat Shake","Beverages","149"
"Mango Shake","Beverages","119"
"Banana Shake","Beverages","109"
"Lemonade","Beverages","59"
"Virgin Mojito","Beverages","99"
"Blue Lagoon","Beverages","109"
"Iced Tea","Beverages","89"
"Hot Chocolate","Beverages","99"
"Green Tea","Beverages","40"
"Masala Chai","Beverages","30"
"Ginger Tea","Beverages","30"
"Black Coffee","Beverages","40"
"Cappuccino","Beverages","79"
"Latte","Beverages","79"
"Espresso","Beverages","50"
"Mocha","Beverages","89"
"Americano","Beverages","60"
"Brownie","Desserts","89"
"Chocolate Cake","Desserts","99"
"Cheese Cake","Desserts","149"
"Ice Cream (Scoop)","Desserts","49"
"Ice Cream (Double Scoop)","Desserts","89"
"Gulab Jamun","Desserts","59"
"Rasgulla","Desserts","59"
"Kheer","Desserts","79"
"Pudding","Desserts","69"
"Mousse","Desserts","99"
"Fruit Salad","Desserts","89"
"Pastry","Desserts","79"
"Donut","Desserts","69"
"Cupcake","Desserts","59"
"Waffle","Desserts","139"
"Pancake","Desserts","129"
"Crepe","Desserts","129"
"Sundae","Desserts","159"
"Banana Split","Desserts","169"
"Chocolate Lava Cake","Desserts","139"
"Tiramisu","Desserts","159"
"Panna Cotta","Desserts","149"
"Macaron","Desserts","49"
"Cookie","Desserts","39"
"Brownie with Ice Cream","Desserts","139"
"Waffle with Ice Cream","Desserts","179"
"Pancake with Syrup","Desserts","149"
"Crepe with Fruit","Desserts","159"
"Strawberry Sundae","Desserts","179"
"Chocolate Sundae","Desserts","179"
"Caramel Custard","Desserts","99"
"Fruit Tart","Desserts","109"
"Eclair","Desserts","79"
"Profiterole","Desserts","89"
"Truffle Cake","Desserts","119"
"Red Velvet Cake","Desserts","129"
"Black Forest Cake","Desserts","109"
"Pineapple Cake","Desserts","99"
"Strawberry Cake","Desserts","99"
"Vanilla Cake","Desserts","89"
"Carrot Cake","Desserts","119"
"Lemon Tart","Desserts","99"
"Berry Tart","Desserts","109"
"Chocolate Tart","Desserts","109"
"Creamy Coffee Affogato","Aira Signature","149"
"Aira special Tiramisu Affogato","Aira Signature","179"
"Signature Dark Chocolate Shake","Aira Signature","169"
"Aira Gold Espresso Shot","Aira Signature","89"
"Aira Velvet Rose Latte","Aira Signature","149"
"Midnight Mocha Frappe","Aira Signature","189"
"Vanilla Bean Cold Brew","Aira Signature","159"
"Hazelnut Caramel Macchiato","Aira Signature","169"
"Spiced Masala Hot Chocolate","Aira Signature","129"
"Berry Blast Smoothie","Aira Signature","179"
"Tropical Mango Passion Cooler","Aira Signature","159"
"Green Detox Elixir","Aira Signature","169"
"Aira Nutty Brownie Sundae","Aira Signature","199"
"Caramelized Banana Waffle","Aira Signature","189"
"Lotus Biscoff Cheesecake","Aira Signature","229"
"Salted Caramel Affogato","Aira Signature","159"
"Cold Brew Tonic","Aira Signature","179"
"Turmeric Golden Milk Latte","Aira Signature","139"
"Rosemary Infused Lemonade","Aira Signature","129"
"Lavender White Chocolate Frappe","Aira Signature","199"
"Saffron Cardamom Tea","Aira Signature","119"
"Classic Tiramisu Slice","Aira Signature","189"
"Dark Chocolate Truffle Tart","Aira Signature","179"
"Matcha Green Tea Latte","Aira Signature","169"
"Peppermint Hot Chocolate","Aira Signature","149"
"Honey Lavender Cold Brew","Aira Signature","179"
"White Chocolate Raspberry Cheesecake","Aira Signature","219"
"Iced Americano with Vanilla","Aira Signature","139"
"Double Espresso Shot","Aira Signature","99"
"Caramel Macchiato","Aira Signature","159"
"Mocha Frappuccino","Aira Signature","189"
"Affogato with Almonds","Aira Signature","169"
