name,price,category
Truffle Parmigiano Alfredo,349,Pasta
Smoked Makhani Pasta,299,Pasta
Roasted Garlic Cream Pasta,299,Pasta
Creamy Alfredo,239,Pasta
Arrabbiata,239,Pasta
Aglio E Olio,249,Pasta
Basil Pesto Verde,249,Pasta
Signature Fried Chicken Burger,199,Burgers
Korean Crunch Chicken Burger,219,Burgers
BBQ Crunch Chicken Burger,219,Burgers
Cheesy Veg Burger,199,Burgers
Special Smash Chicken Burger,229,Burgers
Signature Fried Chicken,289,Fried Chicken
Fried Chicken Wings,279,Fried Chicken
Veg Club Sandwich,229,Sandwiches
Chicken Club Sandwich,279,Sandwiches
Classic Chicken BLT Slider,299,Sandwiches
Chicken Pops with Cheese Sando,299,Sandwiches
Aira Special Multigrain Chicken Sando with Egg on Top,325,Sandwiches
Salted Fries,129,Fries
Cajun Spiced Fries,149,Fries
Peri-Peri Fries,149,Fries
Cheese Overload Fries,199,Fries
Crispy Fried Chicken Fries,249,Fries
Seasonal Fruit French Toast,279,Breakfast(served till 2pm)
Tiramisu French Toast,299,Breakfast(served till 2pm)
Choice of Eggs,249,Breakfast(served till 2pm)
Smoothie Bowl,249,Breakfast(served till 2pm)
Egg & Cheese Sandwich,199,Breakfast(served till 2pm)
Avocado & Hummus Toast,279,Breakfast(served till 2pm)
Veg Thukpa,199,Comfort Food
Chicken Thukpa,229,Comfort Food
Steamed Veg Momos,159,Comfort Food
Steamed Chicken Momos,189,Comfort Food
Fried Veg Momos,179,Comfort Food
Fried Chicken Momos,209,Comfort Food
Veg Wrap,199,Comfort Food
Chicken Wrap,239,Comfort Food
American Corn,199,Comfort Food
Baby Corn,199,Comfort Food
Burnt Garlic Chicken Combo,199,Indo-Chinese Combos
Burnt Garlic Paneer Combo,199,Indo-Chinese Combos
Chili Chicken Combo,199,Indo-Chinese Combos
Chili Paneer Combo,199,Indo-Chinese Combos
Chicken Manchurian Combo,199,Indo-Chinese Combos
Veg Manchurian Combo,199,Indo-Chinese Combos
Schezwan Chicken + Corn Rice,199,Indo-Chinese Combos
Hong Kong Chicken Combo,199,Indo-Chinese Combos
Hong Kong Paneer Combo,199,Indo-Chinese Combos
Korean Chicken + Fried Rice + Egg,249,Indo-Chinese Combos
Chilli Chicken Gravy,249,Indo-Chinese Combos
Burnt Garlic Chicken Gravy,259,Indo-Chinese Combos
Chicken Ema Datshi,269,Indo-Chinese Combos
Veg Manchurian Gravy,269,Indo-Chinese Combos
Masala Chicken Paratha Combo,249,Paratha Combos
Masala Paneer Paratha Combo,229,Paratha Combos
Classic Veg Corn Fried Rice / Noodles,159,Rice & Noodles
Schezwan Fried Rice / Noodles,179,Rice & Noodles
Burnt Garlic Fried Rice / Noodles,179,Rice & Noodles
Paneer Fried Rice / Noodles,189,Rice & Noodles
Egg Fried Rice / Noodles,179,Rice & Noodles
Mushroom & Paneer Fried Rice / Noodles,239,Rice & Noodles
Classic Chicken Fried Rice / Noodles,179,Rice & Noodles
Chicken Egg Fried Rice / Noodles,189,Rice & Noodles
Schezwan Chicken Fried Rice / Noodles,189,Rice & Noodles
Burnt Garlic Chicken Fried Rice / Noodles,189,Rice & Noodles
Prawn Egg Fried Rice / Noodles,199,Rice & Noodles
Basa Fried Rice / Noodles,199,Rice & Noodles
Special Mix Non-Veg Fried Rice / Noodles,249,Rice & Noodles
Mix Schezwan Fried Rice / Noodles,359,Rice & Noodles
Mix Burnt Garlic Fried Rice / Noodles,359,Rice & Noodles
Special Seekh Kabab Rice / Noodles,389,Rice & Noodles
Aira Ultimate Assorted Rice / Noodles,399,Rice & Noodles
Basa,599,Protein and chips
Spicy Crispy Chicken,599,Protein and chips
Prawns,799,Protein and chips
Assam Local Fish,799,Protein and chips
Chicken Seekh,199,Protein and chips
Mushroom,199,Protein and chips
Chicken Wings (2 pc),189,Protein and chips
Korean Wings (2 pc),199,Protein and chips
Chicken Pops,199,Protein and chips
Virgin Mojito,159,Beverages
Green Apple Mojito,159,Beverages
Blue Lagoon,159,Beverages
Strawberry Mint Cooler,159,Beverages
Blueberry Basil,159,Beverages
Mixed Berry Blush,159,Beverages
Cool Cucumber,159,Beverages
Tropical Fizz,159,Beverages
Mango Sunrise,159,Beverages
Mango Blueberry Fizz,159,Beverages
Watermelon Ginger Fizz,159,Beverages
Cranberry Iced Tea,169,Beverages
Basil Blueberry Iced Tea,169,Beverages
Peach Iced Tea,169,Beverages
Ginger Lemon Iced Tea,169,Beverages
Cold Coffee,159,Beverages
Mint Oreo Shake,169,Beverages
Strawberry Mint Shake,169,Beverages
Kitkat Shake,169,Beverages
Mango Shake,169,Beverages
Hazelnut Shake,169,Beverages
The Biscoff Shake,179,Beverages
Brownie Chocolate Shake,189,Beverages
Thanda Badaam Naazrana Shake,189,Beverages
Cappuccino,89,Beverages
Black Coffee,89,Beverages
Iced Americano,149,Beverages
Orange Tonic Americano,189,Beverages
Aira Special Americano,169,Beverages
Blueberry Cheesecake Iced Cloud Coffee,189,Beverages
Vanilla Cloud Iced Coffee,189,Beverages
Shakerato,159,Beverages
Strawberry Matcha Latte,249,Beverages
Mango Matcha Latte,249,Beverages
Blueberry Matcha Latte,249,Beverages
Coconut Matcha Cloud,269,Beverages
Vanilla Matcha Cloud,279,Beverages
Dirty Matcha,279,Beverages


