name,price,category
Truffle Parmigiano Alfredo (Veg),349,Pasta
Truffle Parmigiano Alfredo (Chicken),399,Pasta
Smoked Makhani Pasta (Veg),299,Pasta
Smoked Makhani Pasta (Chicken),349,Pasta
Roasted Garlic Cream Pasta (Veg),299,Pasta
Roasted Garlic Cream Pasta (Chicken),349,Pasta
Creamy Alfredo (Veg),239,Pasta
Creamy Alfredo (Chicken),259,Pasta
Arrabbiata (Veg),239,Pasta
Arrabbiata (Chicken),258,Pasta
Aglio E Olio (Veg),249,Pasta
Aglio E Olio (Chicken),269,Pasta
Basil Pesto Verde (Veg),249,Pasta
Basil Pesto Verde (Chicken),269,Pasta
Signature Fried Chicken Burger,299,Burgers
Korean Crunch Chicken Burger,319,Burgers
BBQ Crunch Chicken Burger,319,Burgers
Cheesy Veg Burger,249,Burgers
Special Smash Chicken Burger,349,Burgers
Signature Fried Chicken - 3 Pcs,289,Fried Chicken
Signature Fried Chicken - 6 Pcs,399,Fried Chicken
Signature Fried Chicken - 12 Pcs,699,Fried Chicken
Fried Chicken Wings - 6 Pcs,279,Fried Chicken
Fried Chicken Wings - 12 Pcs,499,Fried Chicken
Veg Club Sandwich,229,Sandwiches
Chicken Club Sandwich,279,Sandwiches
Classic Chicken BLT Slider,299,Sandwiches
Chicken Pops with Cheese Sando,299,Sandwiches
Aira Special Multigrain Chicken Sando with Egg on Top,325,Sandwiches
Salted Fries,129,Fries
Cajun Spiced Fries,149,Fries
Peri-Peri Fries,149,Fries
Cheese Overload Fries,199,Fries
Crispy Fried Chicken Fries,249,Fries
Seasonal Fruit French Toast,279,Breakfast
Tiramisu French Toast,299,Breakfast
Choice of Eggs,249,Breakfast
Smoothie Bowl,249,Breakfast
Egg & Cheese Sandwich,199,Breakfast
Avocado & Hummus Toast,279,Breakfast
Veg Thukpa,199,Comfort Food
Chicken Thukpa,229,Comfort Food
Steamed Veg Momos (6 pcs),159,Comfort Food
Steamed Chicken Momos (6 pcs),189,Comfort Food
Fried Veg Momos (6 pcs),179,Comfort Food
Fried Chicken Momos (6 pcs),209,Comfort Food
Veg Wrap,199,Comfort Food
Chicken Wrap,239,Comfort Food
American Corn,199,Comfort Food
Baby Corn (Crispy Chili),199,Comfort Food
Baby Corn (Korean),219,Comfort Food
Baby Corn (BBQ),219,Comfort Food
Baby Corn (Nashville Hot),219,Comfort Food
Burnt Garlic Chicken Combo,299,Indo-Chinese Combos
Burnt Garlic Paneer Combo,299,Indo-Chinese Combos
Chili Chicken Combo,299,Indo-Chinese Combos
Chili Paneer Combo,299,Indo-Chinese Combos
Masala Chicken Paratha Combo,249,Paratha Combos
Masala Paneer Paratha Combo,229,Paratha Combos
Veg Fried Rice / Noodles,179,Rice & Noodles
Schezwan Fried Rice / Noodles,199,Rice & Noodles
Burnt Garlic Fried Rice / Noodles,199,Rice & Noodles
Mushroom & Paneer Fried Rice / Noodles,239,Rice & Noodles
Classic Non-Veg Fried Rice / Noodles,239,Rice & Noodles
Schezwan Non-Veg Fried Rice / Noodles,269,Rice & Noodles
Burnt Garlic Non-Veg Fried Rice / Noodles,269,Rice & Noodles
Aira Special Non-Veg Fried Rice / Noodles,329,Rice & Noodles
Mix Schezwan Fried Rice / Noodles,359,Rice & Noodles
Mix Burnt Garlic Fried Rice / Noodles,359,Rice & Noodles
Special Seekh Kabab Rice / Noodles,389,Rice & Noodles
Aira Ultimate Assorted Rice / Noodles,399,Rice & Noodles
Basa (Fish & Chips),599,Fish & Chips
Spicy Crispy Chicken (Fish & Chips),599,Fish & Chips
Prawns (Fish & Chips),799,Fish & Chips
Assam Local Fish (Fish & Chips),799,Fish & Chips
Chicken Seekh (Fish & Chips Add-on),199,Fish & Chips
Mushroom (Fish & Chips Add-on),199,Fish & Chips
Chicken Wings (2 pc) (Fish & Chips Add-on),189,Fish & Chips
Korean Wings (2 pc) (Fish & Chips Add-on),199,Fish & Chips
Chicken Pops (Fish & Chips Add-on),199,Fish & Chips

